기간,순위,프로그램,시청률
2013년 3월 2주,9,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",15.4
2013년 3월 3주,6,SBS월화드라마(야왕),18.4
2013년 3월 3주,9,정글의법칙IN뉴질랜드,15.6
2013년 3월 3주,10,특별기획(돈의화신),14.9
2013년 3월 4주,7,SBS월화드라마(야왕),18.2
2013년 3월 4주,8,정글의법칙IN뉴질랜드,16.8
2013년 3월 4주,9,특별기획(돈의화신),15.9
2013년 3월 5주,4,SBS월화드라마(야왕),20.4
2013년 3월 5주,10,정글의법칙IN뉴질랜드,15.7
2013년 4월 1주,3,SBS월화드라마(야왕),24.2
2013년 4월 1주,7,정글의법칙IN뉴질랜드,16.2
2013년 4월 1주,9,드라마스페셜(그겨울바람이분다),15.8
2013년 4월 2주,7,정글의법칙IN뉴질랜드,15.8
2013년 4월 2주,9,특별기획(돈의화신),14.7
2013년 4월 3주,7,특별기획(돈의화신),15.6
2013년 4월 3주,10,순간포착,14.3
2013년 4월 4주,7,정글의법칙IN뉴질랜드,15.3
2013년 5월 1주,8,정글의법칙IN뉴질랜드,15.8
2013년 5월 2주,7,정글의법칙IN뉴질랜드,15.4
2013년 5월 3주,6,정글의법칙IN히말라야,15.8
2013년 5월 4주,5,정글의법칙IN히말라야,16.1
2013년 6월 1주,7,정글의법칙IN히말라야,16.5
2013년 6월 2주,9,정글의법칙IN히말라야,14.9
2013년 6월 3주,10,드라마스페셜(너의목소리가들려),15.5
2013년 6월 4주,2,SBS스포츠축구(브라질월드컵아시아최종예선한국:이란),26.7
2013년 6월 4주,7,드라마스페셜(너의목소리가들려),17.0
2013년 6월 5주,5,드라마스페셜(너의목소리가들려),16.3
2013년 6월 5주,9,정글의법칙IN히말라야,14.5
2013년 7월 1주,3,드라마스페셜(너의목소리가들려),18.8
2013년 7월 1주,10,정글의법칙IN히말라야,14.3
2013년 7월 2주,2,드라마스페셜(너의목소리가들려),22.5
2013년 7월 2주,9,정글의법칙IN히말라야,14.5
2013년 7월 3주,2,드라마스페셜(너의목소리가들려),22.3
2013년 7월 3주,9,정글의법칙IN히말라야,13.9
2013년 7월 4주,2,드라마스페셜(너의목소리가들려),23.5
2013년 7월 4주,9,정글의법칙IN캐리비언,14.2
2013년 8월 1주,2,드라마스페셜(너의목소리가들려),22.7
2013년 8월 1주,8,정글의법칙IN캐리비언,15.7
2013년 8월 2주,6,정글의법칙IN캐리비언,17.3
2013년 8월 2주,9,드라마스페셜(주군의태양),14.0
2013년 8월 3주,7,정글의법칙IN캐리비언,16.5
2013년 8월 3주,8,드라마스페셜(주군의태양),16.0
2013년 8월 4주,9,드라마스페셜(주군의태양),16.4
2013년 8월 4주,10,정글의법칙IN캐리비언,15.5
2013년 9월 1주,7,드라마스페셜(주군의태양),17.0
2013년 9월 2주,8,드라마스페셜(주군의태양),17.0
2013년 9월 3주,5,드라마스페셜(주군의태양),18.8
2013년 9월 3주,10,정글의법칙IN마야정글,15.6
2013년 9월 4주,10,드라마스페셜(주군의태양),14.8
2013년 9월 5주,5,드라마스페셜(주군의태양),18.7
2013년 10월 1주,3,드라마스페셜(주군의태양),20.8
2013년 10월 1주,9,순간포착,15.0
2013년 11월 1주,9,정글의법칙IN사바나,14.3
2013년 11월 2주,10,드라마스페셜(상속자들),14.4
2013년 11월 3주,9,드라마스페셜(상속자들),15.7
2013년 11월 4주,3,드라마스페셜(상속자들),21.4
2013년 12월 1주,3,드라마스페셜(상속자들),20.5
2013년 12월 2주,3,드라마스페셜(상속자들),22.7
2013년 12월 3주,3,드라마스페셜(상속자들),25.0
2013년 12월 4주,8,드라마스페셜(별에서온그대),17.0
2013년 12월 5주,3,드라마스페셜(별에서온그대),19.8
2014년 1월 1주,3,드라마스페셜(별에서온그대),23.5
2014년 1월 1주,8,정글의법칙IN미크로네시아,15.6
2014년 1월 1주,10,순간포착,14.7
2014년 1월 2주,3,드라마스페셜(별에서온그대),24.2
2014년 1월 2주,7,정글의법칙IN미크로네시아,16.0
2014년 1월 2주,9,아침연속극(두여자의방),14.4
2014년 1월 3주,3,드라마스페셜(별에서온그대),23.8
2014년 1월 3주,8,아침연속극(두여자의방),14.7
2014년 1월 3주,9,놀라운대회스타킹,14.1
2014년 1월 4주,3,드라마스페셜(별에서온그대),25.5
